Ticker,Company,Sector,Industry
BTU,Peabody Energy Corp,Energy,Thermal Coal
BUD,Anheuser-Busch InBev SA/NV ADR,Consumer Defensive,Beverages - Brewers
BULL,Webull Corp,Technology,Software - Application
BURL,Burlington Stores Inc,Consumer Cyclical,Apparel Retail
BVN,Compania de Minas Buenaventura S.A. ADR,Basic Materials,Other Precious Metals & Mining
BWA,BorgWarner Inc,Consumer Cyclical,Auto Parts
BWIN,The Baldwin Insurance Group Inc,Financial,Insurance Brokers
BX,Blackstone Inc,Financial,Asset Management
BXSL,Blackstone Secured Lending Fund,Financial,Asset Management
BZ,Kanzhun Ltd ADR,Communication Services,Internet Content & Information
C,Citigroup Inc,Financial,Banks - Diversified
CAG,Conagra Brands Inc,Consumer Defensive,Packaged Foods
CAH,"Cardinal Health, Inc",Healthcare,Medical Distribution
CAI,Caris Life Sciences Inc,Healthcare,Biotechnology
CAKE,Cheesecake Factory Inc,Consumer Cyclical,Restaurants
CALY,Callaway Golf Co,Consumer Cyclical,Leisure
CARG,CarGurus Inc,Consumer Cyclical,Auto & Truck Dealerships
CARR,Carrier Global Corp,Industrials,Building Products & Equipment
CART,Maplebear Inc,Consumer Cyclical,Internet Retail
CAT,Caterpillar Inc,Industrials,Farm & Heavy Construction Machinery
CAVA,Cava Group Inc,Consumer Cyclical,Restaurants
CB,Chubb Limited,Financial,Insurance - Property & Casualty
CBRE,CBRE Group Inc,Real Estate,Real Estate Services
CBSH,"Commerce Bancshares, Inc",Financial,Banks - Regional
CC,Chemours Company,Basic Materials,Specialty Chemicals
CCC,CCC Intelligent Solutions Holdings Inc,Technology,Software - Application
CCEP,Coca-Cola Europacific Partners Plc,Consumer Defensive,Beverages - Non-Alcoholic
CCJ,Cameco Corp,Energy,Uranium
CCL,Carnival Corp,Consumer Cyclical,Travel Services
CDE,Coeur Mining Inc,Basic Materials,Gold
CDNS,"Cadence Design Systems, Inc",Technology,Software - Application
CDW,CDW Corp,Technology,Information Technology Services
CE,Celanese Corp,Basic Materials,Chemicals
CEG,Constellation Energy Corporation,Utilities,Utilities - Independent Power Producers
CELH,Celsius Holdings Inc,Consumer Defensive,Beverages - Non-Alcoholic
CENX,Century Aluminum Co,Basic Materials,Aluminum
CF,CF Industries Holdings Inc,Basic Materials,Agricultural Inputs
CFG,Citizens Financial Group Inc,Financial,Banks - Regional
CFLT,Confluent Inc,Technology,Software - Infrastructure
CG,Carlyle Group Inc,Financial,Asset Management
CGAU,Centerra Gold Inc,Basic Materials,Gold
CGNX,Cognex Corp,Technology,Scientific & Technical Instruments
CGON,Cg Oncology Inc,Healthcare,Biotechnology
CHD,"Church & Dwight Co., Inc",Consumer Defensive,Household & Personal Products
CHDN,"Churchill Downs, Inc",Consumer Cyclical,Gambling
CHRD,Chord Energy Corp,Energy,Oil & Gas E&P
CHRW,"C.H. Robinson Worldwide, Inc",Industrials,Integrated Freight & Logistics
CHTR,Charter Communications Inc,Communication Services,Telecom Services
CHWY,Chewy Inc,Consumer Cyclical,Internet Retail
CHYM,Chime Financial Inc,Technology,Software - Application
CI,Cigna Group,Healthcare,Healthcare Plans
CIEN,CIENA Corp,Technology,Communication Equipment
CIFR,Cipher Digital Inc,Technology,Information Technology Services
CL,Colgate-Palmolive Co,Consumer Defensive,Household & Personal Products
CLBT,Cellebrite DI Ltd,Technology,Software - Infrastructure
CLF,Cleveland-Cliffs Inc,Basic Materials,Steel
CLM,Cornerstone Strategic Investment Fund Inc,Financial,Closed-End Fund - Equity
CLMT,Calumet Inc,Basic Materials,Specialty Chemicals
CLS,"Celestica, Inc",Technology,Electronic Components
CLSK,Cleanspark Inc,Financial,Capital Markets
CLX,Clorox Co,Consumer Defensive,Household & Personal Products
CM,Canadian Imperial Bank Of Commerce,Financial,Banks - Diversified
CMBT,CMB.Tech NV,Energy,Oil & Gas Midstream
CMC,Commercial Metals Co,Basic Materials,Steel
CMCSA,Comcast Corp,Communication Services,Telecom Services
CME,CME Group Inc,Financial,Financial Data & Stock Exchanges
CMG,Chipotle Mexican Grill,Consumer Cyclical,Restaurants
CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric
CNC,Centene Corp,Healthcare,Healthcare Plans
CNH,CNH Industrial NV,Industrials,Farm & Heavy Construction Machinery
CNI,Canadian National Railway Co,Industrials,Railroads
CNK,Cinemark Holdings Inc,Communication Services,Entertainment
CNM,Core & Main Inc,Industrials,Industrial Distribution
CNP,Centerpoint Energy Inc,Utilities,Utilities - Regulated Electric
CNQ,Canadian Natural Resources Ltd,Energy,Oil & Gas E&P
CNTA,Centessa Pharmaceuticals plc ADR,Healthcare,Biotechnology
CNX,CNX Resources Corp,Energy,Oil & Gas E&P
COF,Capital One Financial Corp,Financial,Credit Services
COGT,Cogent Biosciences Inc,Healthcare,Biotechnology
COHR,Coherent Corp,Technology,Scientific & Technical Instruments
COIN,Coinbase Global Inc,Financial,Financial Data & Stock Exchanges
COLB,"Columbia Banking System, Inc",Financial,Banks - Regional
COMP,Compass Inc,Real Estate,Real Estate Services
COO,"Cooper Companies, Inc",Healthcare,Medical Instruments & Supplies
COP,Conoco Phillips,Energy,Oil & Gas E&P
COR,Cencora Inc,Healthcare,Medical Distribution
CORT,Corcept Therapeutics Inc,Healthcare,Biotechnology
CORZ,Core Scientific Inc,Technology,Software - Infrastructure
COST,Costco Wholesale Corp,Consumer Defensive,Discount Stores
CP,Canadian Pacific Kansas City Limited,Industrials,Railroads
CPB,Campbells Co,Consumer Defensive,Packaged Foods
CPNG,Coupang Inc,Consumer Cyclical,Internet Retail
CPRI,Capri Holdings Ltd,Consumer Cyclical,Luxury Goods
CPRT,"Copart, Inc",Industrials,Specialty Business Services
CRBG,Corebridge Financial Inc,Financial,Asset Management
CRC,California Resources Corporation,Energy,Oil & Gas E&P
CRCL,Circle Internet Group Inc,Financial,Capital Markets
CRDO,Credo Technology Group Holding Ltd,Technology,Semiconductors
CRGY,Crescent Energy Co,Energy,Oil & Gas E&P
CRH,CRH Plc,Basic Materials,Building Materials
CRK,"Comstock Resources, Inc",Energy,Oil & Gas E&P
CRL,Charles River Laboratories International Inc,Healthcare,Diagnostics & Research
CRM,Salesforce Inc,Technology,Software - Application
CRNX,Crinetics Pharmaceuticals Inc,Healthcare,Biotechnology
CROX,Crocs Inc,Consumer Cyclical,Footwear & Accessories
CRSP,CRISPR Therapeutics AG,Healthcare,Biotechnology
CRWD,Crowdstrike Holdings Inc,Technology,Software - Infrastructure
CRWV,CoreWeave Inc,Technology,Software - Infrastructure
CSCO,"Cisco Systems, Inc",Technology,Communication Equipment
CSGP,"Costar Group, Inc",Real Estate,Real Estate Services
CSTM,Constellium SE,Basic Materials,Aluminum
CSX,CSX Corp,Industrials,Railroads
CTAS,Cintas Corporation,Industrials,Specialty Business Services
CTRA,Coterra Energy Inc,Energy,Oil & Gas E&P
CTRI,Centuri Holdings Inc,Utilities,Utilities - Regulated Gas
CTSH,Cognizant Technology Solutions Corp,Technology,Information Technology Services
CTVA,Corteva Inc,Basic Materials,Agricultural Inputs
CUK,Carnival plc ADR,Consumer Cyclical,Travel Services
CVBF,CVB Financial Corp,Financial,Banks - Regional
CVE,Cenovus Energy Inc,Energy,Oil & Gas Integrated
CVI,CVR Energy Inc,Energy,Oil & Gas Refining & Marketing
CVNA,Carvana Co,Consumer Cyclical,Auto & Truck Dealerships
CVS,CVS Health Corp,Healthcare,Healthcare Plans
CVX,Chevron Corp,Energy,Oil & Gas Integrated
CWAN,Clearwater Analytics Holdings Inc,Technology,Software - Application
CWK,Cushman & Wakefield Ltd,Real Estate,Real Estate Services
CX,Cemex S.A.B. De C.V. ADR,Basic Materials,Building Materials
CYTK,Cytokinetics Inc,Healthcare,Biotechnology
CZR,Caesars Entertainment Inc,Consumer Cyclical,Resorts & Casinos
D,Dominion Energy Inc,Utilities,Utilities - Regulated Electric
DAL,"Delta Air Lines, Inc",Industrials,Airlines
DAN,Dana Inc,Consumer Cyclical,Auto Parts
DAR,Darling Ingredients Inc,Consumer Defensive,Packaged Foods
DASH,DoorDash Inc,Consumer Cyclical,Internet Retail
DAWN,Day One Biopharmaceuticals Inc,Healthcare,Biotechnology
DB,Deutsche Bank AG,Financial,Banks - Regional
DBRG,DigitalBridge Group Inc,Financial,Asset Management
DBX,Dropbox Inc,Technology,Software - Infrastructure
DD,DuPont de Nemours Inc,Basic Materials,Specialty Chemicals
DDOG,Datadog Inc,Technology,Software - Application
DE,Deere & Co,Industrials,Farm & Heavy Construction Machinery
DECK,Deckers Outdoor Corp,Consumer Cyclical,Footwear & Accessories
DELL,Dell Technologies Inc,Technology,Computer Hardware
DEO,Diageo plc ADR,Consumer Defensive,Beverages - Wineries & Distilleries
DG,Dollar General Corp,Consumer Defensive,Discount Stores
DGX,"Quest Diagnostics, Inc",Healthcare,Diagnostics & Research
DHI,D.R. Horton Inc,Consumer Cyclical,Residential Construction
DHR,Danaher Corp,Healthcare,Diagnostics & Research
DHT,DHT Holdings Inc,Energy,Oil & Gas Midstream
DINO,HF Sinclair Corp,Energy,Oil & Gas Refining & Marketing
DIS,Walt Disney Co,Communication Services,Entertainment
DJT,Trump Media & Technology Group Corp,Communication Services,Internet Content & Information
DK,Delek US Holdings Inc,Energy,Oil & Gas Refining & Marketing
DKNG,DraftKings Inc,Consumer Cyclical,Gambling
DKS,"Dicks Sporting Goods, Inc",Consumer Cyclical,Specialty Retail
DLTR,Dollar Tree Inc,Consumer Defensive,Discount Stores
DNLI,Denali Therapeutics Inc,Healthcare,Biotechnology
DNOW,Dnow Inc,Industrials,Industrial Distribution
DNTH,Dianthus Therapeutics Inc,Healthcare,Biotechnology
DOCN,DigitalOcean Holdings Inc,Technology,Software - Infrastructure
DOCS,Doximity Inc,Healthcare,Health Information Services
DOCU,DocuSign Inc,Technology,Software - Application
DOV,Dover Corp,Industrials,Specialty Industrial Machinery
DOW,Dow Inc,Basic Materials,Chemicals
DOX,Amdocs Ltd,Technology,Software - Infrastructure
DRI,"Darden Restaurants, Inc",Consumer Cyclical,Restaurants
DRS,Leonardo DRS Inc,Industrials,Aerospace & Defense
DT,Dynatrace Inc,Technology,Software - Application
DTE,DTE Energy Co,Utilities,Utilities - Regulated Electric
DUK,Duke Energy Corp,Utilities,Utilities - Regulated Electric
DUOL,Duolingo Inc,Technology,Software - Application
DVN,Devon Energy Corp,Energy,Oil & Gas E&P
DXC,DXC Technology Co,Technology,Information Technology Services
DXCM,Dexcom Inc,Healthcare,Medical Devices
DYN,Dyne Therapeutics Inc,Healthcare,Biotechnology
EA,"Electronic Arts, Inc",Communication Services,Electronic Gaming & Multimedia
EAT,"Brinker International, Inc",Consumer Cyclical,Restaurants
EBAY,EBay Inc,Consumer Cyclical,Internet Retail
EBC,Eastern Bankshares Inc,Financial,Banks - Regional
EC,Ecopetrol SA ADR,Energy,Oil & Gas Integrated
ECL,"Ecolab, Inc",Basic Materials,Specialty Chemicals
ED,"Consolidated Edison, Inc",Utilities,Utilities - Regulated Electric
EFX,"Equifax, Inc",Industrials,Consulting Services
EGO,Eldorado Gold Corp,Basic Materials,Gold
EHC,Encompass Health Corp,Healthcare,Medical Care Facilities
EIX,Edison International,Utilities,Utilities - Regulated Electric
EL,"Estee Lauder Cos., Inc",Consumer Defensive,Household & Personal Products
ELAN,Elanco Animal Health Inc,Healthcare,Drug Manufacturers - Specialty & Generic
ELF,e.l.f. Beauty Inc,Consumer Defensive,Household & Personal Products
ELV,Elevance Health Inc,Healthcare,Healthcare Plans
EMBJ,Embraer S.A. ADR,Industrials,Aerospace & Defense
EMN,Eastman Chemical Co,Basic Materials,Specialty Chemicals
EMR,Emerson Electric Co,Industrials,Specialty Industrial Machinery
ENB,Enbridge Inc,Energy,Oil & Gas Midstream
ENPH,Enphase Energy Inc,Technology,Solar
ENTG,Entegris Inc,Technology,Semiconductor Equipment & Materials
EOG,"EOG Resources, Inc",Energy,Oil & Gas E&P
EOSE,Eos Energy Enterprises Inc,Industrials,Electrical Equipment & Parts
EPAM,EPAM Systems Inc,Technology,Information Technology Services
EPD,Enterprise Products Partners L P,Energy,Oil & Gas Midstream
EQH,Equitable Holdings Inc,Financial,Asset Management
EQNR,Equinor ASA ADR,Energy,Oil & Gas Integrated
EQT,EQT Corp,Energy,Oil & Gas E&P
EQX,Equinox Gold Corp,Basic Materials,Gold
ERAS,Erasca Inc,Healthcare,Biotechnology
ERIC,Telefonaktiebolaget L M Ericsson ADR,Technology,Communication Equipment
ERO,Ero Copper Corp,Basic Materials,Copper
ES,Eversource Energy,Utilities,Utilities - Regulated Electric
ESI,Element Solutions Inc,Basic Materials,Specialty Chemicals
ESTC,Elastic N.V,Technology,Software - Application
ET,Energy Transfer LP,Energy,Oil & Gas Midstream
ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery
ETR,Entergy Corp,Utilities,Utilities - Regulated Electric
ETSY,Etsy Inc,Consumer Cyclical,Internet Retail
EVRG,Evergy Inc,Utilities,Utilities - Regulated Electric
EW,Edwards Lifesciences Corp,Healthcare,Medical Devices
EWBC,"East West Bancorp, Inc",Financial,Banks - Regional
EWTX,Edgewise Therapeutics Inc,Healthcare,Biotechnology
EXAS,Exact Sciences Corp,Healthcare,Diagnostics & Research
EXC,Exelon Corp,Utilities,Utilities - Regulated Electric
EXE,Expand Energy Corp,Energy,Oil & Gas E&P
EXEL,Exelixis Inc,Healthcare,Biotechnology
EXK,Endeavour Silver Corp,Basic Materials,Silver
EXLS,ExlService Holdings Inc,Technology,Information Technology Services
EXPD,"Expeditors International Of Washington, Inc",Industrials,Integrated Freight & Logistics
EXPE,Expedia Group Inc,Consumer Cyclical,Travel Services
EYE,National Vision Holdings Inc,Consumer Cyclical,Specialty Retail
F,Ford Motor Co,Consumer Cyclical,Auto Manufacturers
FA,First Advantage Corp,Industrials,Specialty Business Services
FANG,Diamondback Energy Inc,Energy,Oil & Gas E&P
FAST,Fastenal Co,Industrials,Industrial Distribution
FBIN,Fortune Brands Innovations Inc,Industrials,Building Products & Equipment
FBP,First Bancorp PR,Financial,Banks - Regional
FCX,Freeport-McMoRan Inc,Basic Materials,Copper
FDX,Fedex Corp,Industrials,Integrated Freight & Logistics
FE,Firstenergy Corp,Utilities,Utilities - Regulated Electric
FER,Ferrovial S.E,Industrials,Engineering & Construction
FERG,Ferguson Enterprises Inc,Industrials,Industrial Distribution
FHB,First Hawaiian INC,Financial,Banks - Regional
FHN,First Horizon Corporation,Financial,Banks - Regional
FIG,Figma Inc,Technology,Software - Application
FIGR,Figure Technology Solutions Inc,Financial,Capital Markets
FIGS,Figs Inc,Consumer Cyclical,Apparel Manufacturing
FIS,"Fidelity National Information Services, Inc",Technology,Information Technology Services
FISV,"Fiserv, Inc",Technology,Information Technology Services
FITB,Fifth Third Bancorp,Financial,Banks - Regional
FLEX,Flex Ltd,Technology,Electronic Components
FLG,Flagstar Bank NA,Financial,Banks - Regional
FLNC,Fluence Energy Inc,Utilities,Utilities - Renewable
FLR,Fluor Corporation,Industrials,Engineering & Construction
FLS,Flowserve Corp,Industrials,Specialty Industrial Machinery
FLUT,Flutter Entertainment Plc,Consumer Cyclical,Gambling
FLY,Firefly Aerospace Inc,Industrials,Aerospace & Defense
FNB,F.N.B. Corp,Financial,Banks - Regional
FND,Floor & Decor Holdings Inc,Consumer Cyclical,Home Improvement Retail
FNF,Fidelity National Financial Inc,Financial,Insurance - Specialty
FNV,Franco-Nevada Corporation,Basic Materials,Gold
FOLD,Amicus Therapeutics Inc,Healthcare,Biotechnology
FORM,FormFactor Inc,Technology,Semiconductor Equipment & Materials
FOUR,Shift4 Payments Inc,Technology,Software - Infrastructure
FOX,Fox Corporation,Communication Services,Entertainment
FOXA,Fox Corporation,Communication Services,Entertainment
FPS,Forgent Power Solutions Inc,Industrials,Electrical Equipment & Parts
FRO,Frontline Plc,Energy,Oil & Gas Midstream
FROG,JFrog Ltd,Technology,Software - Application
FRPT,Freshpet Inc,Consumer Defensive,Packaged Foods
FRSH,Freshworks Inc,Technology,Software - Application
FSK,FS KKR Capital Corp,Financial,Asset Management
FSLR,First Solar Inc,Technology,Solar
FSLY,Fastly Inc,Technology,Software - Application
FSM,Fortuna Mining Corp,Basic Materials,Gold
FTAI,FTAI Aviation Ltd,Industrials,Rental & Leasing Services
FTI,TechnipFMC plc,Energy,Oil & Gas Equipment & Services
FTNT,Fortinet Inc,Technology,Software - Infrastructure
FTV,Fortive Corp,Technology,Scientific & Technical Instruments
FULT,Fulton Financial Corp,Financial,Banks - Regional
FUTU,Futu Holdings Ltd ADR,Financial,Capital Markets
FWONK,Liberty Media Corp,Communication Services,Entertainment
G,Genpact Ltd,Technology,Information Technology Services
GAP,"Gap, Inc",Consumer Cyclical,Apparel Retail
GBCI,"Glacier Bancorp, Inc",Financial,Banks - Regional
GBDC,Golub Capital BDC Inc,Financial,Asset Management
GBTG,Global Business Travel Group Inc,Consumer Cyclical,Travel Services
GD,General Dynamics Corp,Industrials,Aerospace & Defense
GDDY,Godaddy Inc,Technology,Software - Infrastructure
GDS,GDS Holdings Limited ADR,Technology,Information Technology Services
GE,GE Aerospace,Industrials,Aerospace & Defense
GEHC,GE HealthCare Technologies Inc,Healthcare,Medical Devices
GEN,Gen Digital Inc,Technology,Software - Infrastructure
